Amazon 出品サービス、フルフィルメント by Amazon (FBA),,,,,,,,,,,,,,,,,,,,,,,,,,,
指定のない場合、単位は円,,,,,,,,,,,,,,,,,,,,,,,,,,,
定義：,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税,,,,,,,,,,,,,,,,,,,,,,,,,,,
販売手数料：カテゴリー成約料と販売手数料が含まれます。,,,,,,,,,,,,,,,,,,,,,,,,,,,
トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付/時間,決済番号,トランザクションの種類,注文番号,SKU,説明,数量,Amazon 出品サービス,フルフィルメント,市町村,都道府県,郵便番号,税金徴収型,商品売上,商品の売上税,配送料,配送料の税金,ギフト包装手数料,ギフト包装クレジットの税金,Amazonポイントの費用,プロモーション割引額,プロモーション割引の税金,源泉徴収税を伴うマーケットプレイス,手数料,FBA 手数料,トランザクションに関するその他の手数料,その他,合計
2025/01/01 0:21:14 JST,11911147113,注文,503-8719410-1608627,SCB008-B,サコッシュ（マチ付） 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハ�,1,amazon.jp,Amazon,,千葉県,272-082,,"2,691",269,0,0,0,0,-30,0,0,0,-387,-485,0,0,"2,058"
2025/01/01 0:51:55 JST,11911147113,注文,503-5525620-9543843,DAB008-BK,バックパック（サイドポケット付） 20L 超軽量（UL） 撥水 防水 メンズ レディース ハイキング トレッキング ブ�,1,amazon.jp,Amazon,,愛知県,459-800,,"4,364",436,0,0,0,0,-48,0,0,0,-627,-465,0,0,"3,660"
2025/01/01 4:42:35 JST,11911147113,注文,503-7024344-4119843,DAB008-BK,バックパック（サイドポケット付） 20L 超軽量（UL） 撥水 防水 メンズ レディース ハイキング トレッキング ブ�,1,amazon.jp,Amazon,,Kanagawa-ken,240-011,,"4,363",437,0,0,322,32,-48,0,0,0,-627,-819,0,0,"3,660"
2025/01/01 4:49:04 JST,11911147113,注文,503-3378053-6653411,SHB004,ショルダーバッグ 撥水 防水 超軽量 メンズ 斜めがけ トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハント）,1,amazon.jp,Amazon,,大阪府,563-004,,"3,200",320,418,42,0,0,-35,-418,-42,0,-460,-514,0,0,"2,511"
2025/01/01 6:57:14 JST,11911147113,注文,249-7528656-8811812,22-GH0Y-3R3L,バックパック20L 軽量 超軽量（UL） 撥水 生活防水 メンズ レディース ハイキング トレッキング ブラック 黒 折�,1,amazon.jp,Amazon,,神奈川県,231-006,,"4,364",436,0,0,0,0,-48,0,0,0,-627,-485,0,0,"3,640"
2025/01/01 8:59:38 JST,11911147113,注文,249-0532258-1253451,SCB008-B,サコッシュ（マチ付） 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハ�,1,amazon.jp,Amazon,,東京都,197-000,,"2,691",269,0,0,0,0,-30,0,0,0,-387,-485,0,0,"2,058"
2025/01/01 22:18:32 JST,11911147113,注文,249-5106552-1500643,WPO001-BK,ウエストポーチ 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハント）,1,amazon.jp,Amazon,,神奈川県,212-002,,"2,718",272,0,0,0,0,-30,0,0,0,-391,-455,0,0,"2,114"
2025/01/01 23:21:43 JST,11911147113,注文,249-8267142-0447836,SCB006-BK,スマホショルダー ペットボトル収納 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT,1,amazon.jp,Amazon,,東京都,150-004,,"2,400",240,0,0,0,0,-26,0,0,0,-345,-318,0,0,"1,951"
2025/01/01 23:36:39 JST,11911147113,注文,250-4230577-9470253,SCB008-B,サコッシュ（マチ付） 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハ�,1,amazon.jp,Amazon,,千葉県,271-009,,"3,355",335,0,0,0,0,0,0,0,0,-487,-485,0,0,"2,718"
2025/01/01 23:42:41 JST,11911147113,注文,249-3161049-9398234,WPO001-BK,ウエストポーチ 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハント）,1,amazon.jp,Amazon,",",京都府,606-841,,"2,182",218,0,0,0,0,-24,0,0,0,-314,-455,0,0,"1,607"
2025/01/01 23:42:41 JST,11911147113,注文,249-3161049-9398234,WPO,【2WAY miniサコッシュバッグ・ウエストポーチ・ボディバッグ】トラベル ハイキング 防水 撥水,1,amazon.jp,Amazon,",",京都府,606-841,,"2,682",268,0,0,0,0,-30,0,0,0,-385,-455,0,0,"2,080"
2025/01/01 23:47:21 JST,11911147113,注文,503-7170155-5839830,SCB006-BK,スマホショルダー ペットボトル収納 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT,1,amazon.jp,Amazon,,京都府,612-829,,"2,400",240,0,0,0,0,-26,0,0,0,-345,-318,0,0,"1,951"
2025/01/02 0:15:33 JST,11911147113,注文,503-4945749-6385420,DAB008-BK,バックパック（サイドポケット付） 20L 超軽量（UL） 撥水 防水 メンズ レディース ハイキング トレッキング ブ�,1,amazon.jp,Amazon,,広島県,737-091,,"4,364",436,0,0,0,0,-48,0,0,0,-627,-465,0,0,"3,660"
2025/01/02 0:59:29 JST,11911147113,注文,503-3794046-4578250,SCB007-BK,サコッシュ 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハント (約 横2,1,amazon.jp,Amazon,,神奈川県,252-030,,"2,400",240,0,0,0,0,-26,0,0,0,-345,-318,0,0,"1,951"
